DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
AVRO,1,44.171779141104295,IBk,None,None,SensitiveLearning,0.5625,0.32142857142857145,0.6051587301587301,0.23873873873873874,9.0,7.0,56.0,19.0
AVRO,1,44.171779141104295,RandomForest,GreedyStepwise,None,SensitiveLearning,0.625,0.17857142857142858,0.6224489795918368,0.1633663366336634,5.0,3.0,60.0,23.0
AVRO,1,44.171779141104295,RandomForest,BestFirst,None,SensitiveLearning,0.625,0.17857142857142858,0.6224489795918368,0.1633663366336634,5.0,3.0,60.0,23.0
AVRO,1,44.171779141104295,NaiveBayes,GreedyStepwise,None,SensitiveLearning,0.6666666666666666,0.07142857142857142,0.5547052154195011,0.07387862796833777,2.0,1.0,62.0,26.0
AVRO,1,44.171779141104295,NaiveBayes,BestFirst,None,SensitiveLearning,0.6666666666666666,0.07142857142857142,0.5547052154195011,0.07387862796833777,2.0,1.0,62.0,26.0
AVRO,1,44.171779141104295,IBk,GreedyStepwise,None,SensitiveLearning,0.5454545454545454,0.21428571428571427,0.6026077097505669,0.16229116945107425,6.0,5.0,58.0,22.0
AVRO,1,44.171779141104295,IBk,BestFirst,None,SensitiveLearning,0.5454545454545454,0.21428571428571427,0.6026077097505669,0.16229116945107425,6.0,5.0,58.0,22.0
AVRO,2,61.509433962264154,RandomForest,None,None,None,0.8888888888888888,0.6857142857142857,0.9140724946695096,0.6779431664411368,24.0,3.0,64.0,11.0
AVRO,2,61.509433962264154,NaiveBayes,None,None,None,0.6,0.08571428571428572,0.6464818763326226,0.07024128686327055,3.0,2.0,65.0,32.0
AVRO,2,61.509433962264154,IBk,None,None,None,0.9285714285714286,0.7428571428571429,0.8827292110874201,0.748768472906404,26.0,2.0,65.0,9.0
AVRO,2,61.509433962264154,RandomForest,GreedyStepwise,None,None,0.6923076923076923,0.5142857142857142,0.7865671641791044,0.42071785552021806,18.0,8.0,59.0,17.0
AVRO,2,61.509433962264154,NaiveBayes,GreedyStepwise,None,None,0.6666666666666666,0.11428571428571428,0.6330490405117271,0.10526315789473692,4.0,2.0,65.0,31.0
AVRO,2,61.509433962264154,IBk,GreedyStepwise,None,None,0.7241379310344828,0.6,0.8204690831556504,0.5011116051578479,21.0,8.0,59.0,14.0
AVRO,2,61.509433962264154,RandomForest,BestFirst,None,None,0.6923076923076923,0.5142857142857142,0.7865671641791044,0.42071785552021806,18.0,8.0,59.0,17.0
AVRO,2,61.509433962264154,NaiveBayes,BestFirst,None,None,0.6666666666666666,0.11428571428571428,0.6330490405117271,0.10526315789473692,4.0,2.0,65.0,31.0
AVRO,2,61.509433962264154,IBk,BestFirst,None,None,0.7241379310344828,0.6,0.8204690831556504,0.5011116051578479,21.0,8.0,59.0,14.0
AVRO,2,61.509433962264154,RandomForest,None,None,SensitiveLearning,0.8846153846153846,0.6571428571428571,0.9046908315565032,0.6524307133121308,23.0,3.0,64.0,12.0
AVRO,2,61.509433962264154,NaiveBayes,None,None,SensitiveLearning,0.6,0.08571428571428572,0.6464818763326226,0.07024128686327055,3.0,2.0,65.0,32.0
AVRO,2,61.509433962264154,IBk,None,None,SensitiveLearning,0.9285714285714286,0.7428571428571429,0.8827292110874201,0.748768472906404,26.0,2.0,65.0,9.0
AVRO,2,61.509433962264154,RandomForest,GreedyStepwise,None,SensitiveLearning,0.6923076923076923,0.5142857142857142,0.7865671641791044,0.42071785552021806,18.0,8.0,59.0,17.0
AVRO,2,61.509433962264154,RandomForest,BestFirst,None,SensitiveLearning,0.6923076923076923,0.5142857142857142,0.7865671641791044,0.42071785552021806,18.0,8.0,59.0,17.0
AVRO,2,61.509433962264154,NaiveBayes,GreedyStepwise,None,SensitiveLearning,0.6666666666666666,0.11428571428571428,0.6330490405117271,0.10526315789473692,4.0,2.0,65.0,31.0
AVRO,2,61.509433962264154,NaiveBayes,BestFirst,None,SensitiveLearning,0.6666666666666666,0.11428571428571428,0.6330490405117271,0.10526315789473692,4.0,2.0,65.0,31.0
AVRO,2,61.509433962264154,IBk,GreedyStepwise,None,SensitiveLearning,0.7241379310344828,0.6,0.8204690831556504,0.5011116051578479,21.0,8.0,59.0,14.0
AVRO,2,61.509433962264154,IBk,BestFirst,None,SensitiveLearning,0.7241379310344828,0.6,0.8204690831556504,0.5011116051578479,21.0,8.0,59.0,14.0
