DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,3,66.66666666666667,IBk,None,None,None,0.7032967032967034,0.810126582278481,0.8631044531463437,0.6762394195888753,64.0,27.0,251.0,15.0
BOOKKEEPER,3,66.66666666666667,RandomForest,GreedyStepwise,None,None,0.6907216494845361,0.8481012658227848,0.9354339313359439,0.6843767103102766,67.0,30.0,248.0,12.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,GreedyStepwise,None,None,0.8518518518518519,0.8734177215189873,0.9373235588744194,0.8227968051983213,69.0,12.0,266.0,10.0
BOOKKEEPER,3,66.66666666666667,IBk,GreedyStepwise,None,None,0.67,0.8481012658227848,0.9021946999362536,0.6660291457913228,67.0,33.0,245.0,12.0
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst,None,None,0.6907216494845361,0.8481012658227848,0.9354339313359439,0.6843767103102766,67.0,30.0,248.0,12.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst,None,None,0.8518518518518519,0.8734177215189873,0.9373235588744194,0.8227968051983213,69.0,12.0,266.0,10.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst,None,None,0.67,0.8481012658227848,0.9021946999362536,0.6660291457913228,67.0,33.0,245.0,12.0
BOOKKEEPER,3,66.66666666666667,RandomForest,None,None,SensitiveLearning,0.4269005847953216,0.9240506329113924,0.9410345141608233,0.40339375241033554,73.0,98.0,180.0,6.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,None,None,SensitiveLearning,0.5378151260504201,0.810126582278481,0.9117111374191785,0.5183486238532111,64.0,55.0,223.0,15.0
BOOKKEEPER,3,66.66666666666667,IBk,None,None,SensitiveLearning,0.7032967032967034,0.810126582278481,0.8631044531463437,0.6762394195888753,64.0,27.0,251.0,15.0
BOOKKEEPER,3,66.66666666666667,RandomForest,GreedyStepwise,None,SensitiveLearning,0.4146341463414634,0.8607594936708861,0.9242555322830344,0.372129719423396,68.0,96.0,182.0,11.0
